clave_acceso,veces_clave,fecha_emision_min,fecha_emision_max,importe_total,archivos
1006202501179222137400120010050000186514302342217,2,2025-06-10,2025-06-10,495.0,"Factura (29).xml, Factura (43).xml"
1106202501179222137400120010050000186754302656314,2,2025-06-11,2025-06-11,511.75,"Factura (31).xml, Factura (45).xml"
1106202501179222137400120010050000186844302917516,2,2025-06-11,2025-06-11,260.51,"Factura (30).xml, Factura (44).xml"
1206202501179222137400120010050000186994303559318,2,2025-06-12,2025-06-12,373.06,"Factura (32).xml, Factura (46).xml"
1606202501179222137400120010050000187244306089013,2,2025-06-16,2025-06-16,224.25,"Factura (33).xml, Factura (47).xml"
1606202501179222137400120010050000187334306442510,2,2025-06-16,2025-06-16,640.0,"Factura (34).xml, Factura (48).xml"
1706202501179222137400120010050000187404306996810,2,2025-06-17,2025-06-17,204.7,"Factura (36).xml, Factura (50).xml"
1706202501179222137400120010050000187414306997911,2,2025-06-17,2025-06-17,264.96,"Factura (35).xml, Factura (49).xml"
1906202501179222137400120010050000187874308363012,2,2025-06-19,2025-06-19,498.7,"Factura (37).xml, Factura (51).xml"
1906202501179222137400120010050000188014308646019,2,2025-06-19,2025-06-19,275.0,"Factura (38).xml, Factura (52).xml"
206202501179222137400120010050000185034296335114,2,2025-06-02,2025-06-02,546.88,"Factura (28).xml, Factura (42).xml"
2306202501179222137400120010050000188464311126516,2,2025-06-23,2025-06-23,193.5,"Factura (39).xml, Factura (53).xml"
2406202501179222137400120010050000188504311556010,2,2025-06-24,2025-06-24,319.0,"Factura (40).xml, Factura (54).xml"
2406202501179222137400120010050000188514311556318,2,2025-06-24,2025-06-24,511.75,"Factura (41).xml, Factura (55).xml"
404202501179222137400120010050000176694257523312,2,2025-04-04,2025-04-04,320.11,"Factura (10).xml, Factura (11).xml"
