sku,descripcion,lineas,unidades,unidades_gratis,importe_total
300059,Fórmula Magistral Cápsulas Minoxidil 2.5mg Dutasteride 0.5mg,63,431.0,43.0,7097.1
400045,Pilopeptan Intensive,34,143.0,29.0,5073.0
300058,Fórmula Magistral Cápsulas Minoxidil 2.5mg,21,110.0,10.0,1155.0
300095,Fórmula Magistral Cápsulas Minoxidil Forte 5mg,14,77.0,7.0,881.0
500001,5-Fluorouracilo 5%  30g,24,72.0,10.0,1041.6
300052,Fórmula Magistral Cápsulas Minoxidil 1mg,12,66.0,6.0,620.0
300084,Fórmula Magistral Cápsulas Minoxidil 5mg Dutasteride 0.5mg,13,63.0,5.0,1179.9
300024,Fórmula Magistral Cápsulas Dutasteride 0.5mg,10,55.0,5.0,600.0
500005,Anthemis Talco 120gr,5,55.0,14.0,472.32
300066,Fórmula Magistral Cápsulas Minoxidil 2.5mg Finasteride 2.5mg,9,44.0,4.0,820.0
400052,Pilopeptan Woman - 5 alpha,14,42.0,7.0,1365.0
400053,Pilopeptan Woman - Comprimidos,14,42.0,7.0,1365.0
500008,Loción Antitranspirante 100ml,10,38.0,7.0,323.02
400044,Pilopeptan Champú - Woman,12,36.0,6.0,758.7
500009,Loción Antitranspirante 200ml,12,36.0,6.0,513.3
400042,Pilopeptan Champú - Hombre,12,35.0,6.0,659.75
300025,Fórmula Magistral Cápsulas Dutasteride 1mg,4,22.0,2.0,308.0
400047,Pilopeptan Mascarilla Capilar Woman,6,18.0,3.0,388.20000000000005
400049,Pilopeptan Reparador Uñas - Gel,6,18.0,3.0,240.0
400050,Pilopeptan SEB-DS Cápsulas,6,16.0,3.0,451.36
400004,FluidBase Rederm Gel Forte AHA 15%,4,12.0,2.0,307.5
400005,FluidBase Rederm Loción AHA 10%,4,12.0,2.0,306.9
400041,Pilopeptan Cápsulas - Hombre,4,12.0,2.0,299.2
300034,Fórmula Magistral Cápsulas Finasteride 1mg,2,11.0,1.0,143.0
400006,Fluidbase Rederm Retinol + Vitamina C,2,6.0,1.0,150.0
400046,Pilopeptan Loción Formulable,2,6.0,1.0,135.0
400012,Genosun Pigment Repair,2,6.0,1.0,115.0
400007,Genocután Gel dermatológico 500ml,2,6.0,1.0,110.0
400043,Pilopeptan Champú - SEB DS,2,6.0,1.0,95.0
400051,Pilopeptan Sérum - Reparador Capilar 30ml,2,6.0,1.0,95.0
500004,Alkix-Tran Shampoo BMC 240gr,2,6.0,1.0,65.0
400048,Pilopeptan Pestañas y Cejas,1,2.0,0.0,70.0
400003,Fluidbase Rederm Bebible,1,2.0,0.0,60.0
300147,Fórmula Magistral Loción Minoxidil 5% Finasteride 0.5% 60ml Gotero,1,1.0,0.0,18.85
